"월소득10분위별","가계수지항목별",2006.1/4,2006.2/4,2006.3/4,2006.4/4,2007.1/4,2007.2/4,2007.3/4,2007.4/4,2008.1/4,2008.2/4,2008.3/4,2008.4/4,2009.1/4,2009.2/4,2009.3/4,2009.4/4,2010.1/4,2010.2/4,2010.3/4,2010.4/4,2011.1/4,2011.2/4,2011.3/4,2011.4/4,2012.1/4,2012.2/4,2012.3/4,2012.4/4,2013.1/4,2013.2/4,2013.3/4,2013.4/4,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4
"월소득10분위별","가계수지항목별",전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구,전체가구
"전체","소득 (원)",2748346,2676188,2725319,2825442,2890997,2760648,2921773,2909254,3002519,2873507,3045332,2966876,3027528,2880494,3004898,3095239,3244372,3099040,3199907,3164915,3394843,3259775,3402599,3394121,3585195,3450505,3617646,3572212,3647350,3520916,3695208,3608868,3770830,3560436,3770124,3666505,3827940,3627052,3762291,3668891,3824588,3636178,3750628,3635291,3812775,3617217,3765670,3698430,3888317,3715637,3898365,3780291,3950252,3856841,4009462,3926187
"１분위","소득 (원)",328539,359373,334742,377784,345667,343155,382345,358607,343812,347527,370862,356905,301138,314182,311392,350227,329672,347923,365684,335867,363398,383044,387347,369967,385923,431852,423825,394803,402599,408329,412875,395503,390622,382436,478244,450772,484437,498680,517959,477487,456572,446536,471122,442766,493773,513912,481562,531149,414188,414793,446767,407949,426846,445853,443821,431087
"２분위","소득 (원)",859026,864908,840533,903494,861827,865609,901865,873543,855989,828582,893588,884320,807783,840908,849911,889695,882193,920831,949031,936978,953647,990409,1004980,982933,987852,1058813,1082779,1035855,1039374,1033771,1081503,1061226,1032622,1008922,1111027,1081207,1071829,1096002,1117565,1077952,1037585,1037252,1053382,1008078,1026799,1065426,1047239,1123903,890513,901587,934963,898039,888871,917871,957152,928619
"３분위","소득 (원)",1331784,1321823,1288696,1374063,1330434,1362372,1396567,1379484,1338399,1337990,1420700,1400098,1338704,1351793,1377457,1418253,1440683,1487413,1500432,1506708,1535544,1581344,1605465,1613772,1595508,1664247,1698359,1664736,1678468,1683031,1712541,1712395,1672544,1691151,1738889,1708311,1692536,1697969,1747903,1713439,1643716,1661581,1686902,1619049,1626336,1637448,1623494,1694280,1473502,1493842,1519505,1459146,1464560,1512073,1580282,1547592
"４분위","소득 (원)",1745688,1729572,1740712,1809063,1792082,1827718,1862335,1862759,1835448,1840095,1915547,1878255,1817232,1843719,1884535,1964563,1972559,2020057,2061016,2041792,2111828,2132693,2177229,2197704,2230242,2274121,2328573,2286960,2285124,2331848,2372098,2369950,2333513,2333398,2398882,2378264,2360961,2357157,2410145,2355504,2306297,2317799,2333658,2280048,2217923,2209816,2219788,2282406,2074216,2142236,2173204,2090524,2131082,2181029,2283784,2234534
"５분위","소득 (원)",2173110,2150125,2160265,2229613,2234836,2254419,2310086,2310973,2307638,2280898,2375000,2348346,2284044,2305842,2394138,2481290,2491313,2532370,2614894,2590324,2671346,2691948,2760193,2767628,2841186,2863153,2930285,2888158,2893939,2925254,2997786,2967541,2999440,2926755,3027097,2978473,3012910,2956473,3047558,2959804,2937266,2920709,2980080,2936599,2854747,2849325,2847182,2909421,2717101,2791122,2840223,2780124,2847868,2912788,2976718,2938389
"６분위","소득 (원)",2625987,2574188,2610053,2664117,2694105,2668063,2773219,2766785,2794255,2743673,2872292,2843841,2820162,2804904,2891963,3012509,3021583,3025567,3129843,3087371,3186929,3215131,3335808,3294053,3424366,3379374,3488200,3466950,3488151,3458356,3571126,3553180,3603474,3502494,3661773,3536588,3641166,3540497,3657090,3594416,3599466,3534349,3633767,3540099,3527379,3491928,3567377,3560244,3464873,3417758,3565617,3532682,3629800,3669179,3735011,3703143
"７분위","소득 (원)",3111160,3039914,3095125,3172470,3215716,3139291,3297086,3268778,3348067,3260368,3420551,3376348,3393976,3323822,3444709,3528575,3601615,3563835,3687064,3652274,3814823,3768395,3934491,3883482,4066408,3959800,4112458,4071339,4102401,4047149,4212297,4176706,4282942,4127037,4335296,4172016,4311007,4157490,4315600,4221910,4311673,4205885,4306314,4195825,4291267,4160592,4297839,4255127,4296613,4182850,4410914,4350387,4506671,4413759,4566670,4518427
"８분위","소득 (원)",3724817,3616800,3724091,3797770,3880027,3711522,3929436,3879728,4023704,3855057,4099479,4001668,4088957,3954556,4110463,4174181,4343988,4254283,4376783,4310084,4559222,4421508,4626160,4578742,4877688,4669506,4850926,4813944,4925170,4759445,5007909,4912319,5095469,4867839,5099089,4932131,5164714,4885756,5138257,4981260,5158567,4962712,5135233,4968163,5161014,4980127,5123772,5055410,5281013,5141861,5374409,5280342,5530537,5325134,5557636,5484311
"９분위","소득 (원)",4543794,4411751,4550051,4705393,4863094,4556636,4838977,4769666,5047632,4781461,5065637,4930750,5124334,4778963,5063057,5136006,5434759,5142191,5342444,5265681,5600443,5343200,5690477,5620145,6059759,5653366,5949720,5883306,6141954,5817226,6197797,6022859,6367397,5909771,6211194,6090124,6419850,5926307,6214267,6058899,6430081,6079084,6335857,6050145,6405728,6054496,6373276,6204487,6748290,6418846,6834037,6576233,6998266,6724941,7007154,6900746
"１０분위","소득 (원)",7035727,6688337,6903005,7213179,7686137,6874471,7519677,7618151,8118907,7447054,8005757,7642308,8284691,7278777,7716638,7986476,8920151,7690081,7965758,7915986,9143285,8056385,8491586,8627235,9373319,8539314,9299031,9210113,9504761,8737543,9368372,8910932,9917348,8834374,9634226,9318169,10110772,9142889,9451085,9237646,10348585,9189925,9561922,9305636,10477209,9199667,10038390,9350874,11512616,10243022,10876929,10418039,11064182,10459582,10975030,10569794
